emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN)
GHELAMCO INVEST,"GHE0728
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,4000","100,4000",-,-,2024-12-20,-,"100,7900",-,1,13,"100,6000","100,7900",42,1,5,62,"65,45"
GHELAMCO INVEST,"GHE1027
                                    

                                                                                                            
                                                                                                             /S",GPW RR,1,"101,0000","101,3000",-,-,2024-12-20,-,"101,5000",-,3,1858,"101,0000","101,5000",628,2,5,601,"61,92"
GHELAMCO INVEST,"GHE1127
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,5000","100,9800",-,-,2024-12-20,-,"100,9800",-,1,20,"100,9000","101,9900",116,1,1,22,"22,48"
GHELAMCO INVEST,"GHE1128
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,7500","100,7400",-,-,2024-12-20,-,"100,6000",-,1,10,"100,5400","100,6500",125,1,14,414,"422,33"
GHELAMCO INVEST,GHI0725,GPW ASO,1,"100,8800","100,5000",-,-,2024-12-20,-,"100,5000",-,1,15,"100,3000","100,8800",90,1,1,10,"10,54"
GHELAMCO INVEST,GHI0925,GPW ASO,1,"100,9000","100,5900",-,-,2024-12-20,-,"100,8900",-,1,21,"100,3500","100,8900",6,1,2,24,"24,79"
HM INWEST,HMI0327,GPW ASO,1,"100,0400","100,2500",-,-,2024-12-20,-,"100,1300",-,2,60,"100,1400","101,5400",55,1,5,152,"15,74"
HM INWEST,HMI0627,GPW ASO,1,"101,5500","101,5200",-,-,2024-12-20,-,"101,5200",-,1,50,"101,5000","101,5000",50,1,3,100,"10,22"
I2 DEVELOPMENT,I2D0225,GPW ASO,1,"99,0000","99,0000",-,-,2024-12-20,-,"99,0000",-,1,5,"98,8000","99,0000",2,1,9,172,"171,40"
INTERNETOWY FUNDUSZ LEASINGOWY,IFL0334,GPW ASO,1,"100,2300",-,-,-,2024-12-13,-,"100,2300",-,1,10,"99,8000","100,2300",29,1,-,-,-
INFINITY,INF0326,GPW ASO,1,"102,3700",-,-,-,2024-12-13,-,"102,3700",-,1,7,"100,0200","102,3600",200,1,-,-,-
INFINITY,INY0225,GPW ASO,1,"100,9000",-,-,-,2024-12-04,-,"100,9000",-,-,-,-,-,-,-,-,-,-
INFINITY,INY0725,GPW ASO,1,"100,2200",-,-,-,2024-11-06,-,"100,2200",-,-,-,-,"105,0000",3,1,-,-,-
INPRO SA,INP1025,GPW ASO,1,"99,9900",-,-,-,2023-04-14,-,"99,9900",-,-,-,-,-,-,-,-,-,-
INDOS,"INS0126
                                    

                                                                                                             /Z",GPW ASO,1,"101,9800",-,-,-,2024-10-22,-,"101,9800",-,-,-,-,-,-,-,-,-,-
INDOS,INS0127,GPW ASO,1,"104,0000",-,-,-,2024-12-18,-,"104,0000",-,1,15,"101,0300","104,0000",5,1,-,-,-
INDOS,INS0228,GPW ASO,1,"101,5000",-,-,-,2024-12-09,-,"101,5000",-,1,28,"98,0000","101,9000",20,1,-,-,-
INDOS,INS0526,GPW ASO,1,"102,0000",-,-,-,2024-12-18,-,"102,0000",-,1,10,"100,9000","102,4000",10,1,-,-,-
INPOST SOCIÉTÉ ANONYME W LUKSE,IPT0627,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JHM DEVELOPMENT,JHM1225,GPW ASO,1,"102,0000",-,-,-,2024-02-09,-,"102,0000",-,-,-,-,-,-,-,-,-,-
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15"
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15"
KGHM POLSKA MIEDŹ SA,KGH0631,GPW ASO,1,"101,1600","101,1600",-,-,2024-12-20,-,"101,1600",-,1,10,"100,8000","101,1600",51,1,2,23,"23,27"
KREDYT INKASO,KIN1025,GPW RR,1,"100,6000","100,5000",-,-,2024-12-20,-,"100,5000",-,1,80,"100,5000","100,8000",30,1,2,50,"5,03"
KREDYT INKASO,KRI0228,GPW RR,1,"102,5000","103,4900",-,-,2024-12-20,-,"103,9700",-,2,31,"103,0000","103,9700",1,1,5,22,"23,16"
KREDYT INKASO,KRI0329,GPW ASO,1,"102,5900","101,8000",-,-,2024-12-20,-,"101,8000",-,1,3,"101,6000","102,4900",5,1,1,8,"6,27"
KREDYT INKASO,KRI0427,GPW RR,1,"102,6000",-,-,-,2024-12-12,-,"102,6000",-,1,20,"101,9000","102,9000",20,1,-,-,-
KREDYT INKASO,KRI0726,GPW RR,1,"101,0000",-,-,-,2024-12-18,-,"101,0000",-,1,500,"101,0000","101,4700",254,1,-,-,-
KREDYT INKASO,KRI0727,GPW RR,1,"102,6000","102,5000",-,-,2024-12-20,-,"103,0000",-,1,15,"102,4000","103,4000",10,1,3,7,"7,36"
KREDYT INKASO,KRI1025,GPW RR,1,"99,3000",-,-,-,2024-12-03,-,"99,3000",-,1,100,"98,2000","99,7000",100,1,-,-,-
KREDYT INKASO,KRI1027,GPW ASO,1,"102,0000",-,-,-,2024-12-11,-,"102,0000",-,1,20,"102,0000","103,4900",9,1,-,-,-
KREDYT INKASO,KRI1127,GPW RR,1,"102,9100","103,6000",-,-,2024-12-20,-,"103,6000",-,1,15,"103,0000","104,0000",15,1,1,7,"7,32"
KREDYT INKASO,KRI1128,GPW ASO,1,"101,1000",-,-,-,2024-12-19,-,"101,1000",-,1,20,"99,8000","101,0000",54,1,-,-,-
KRUK,KR10228,GPW RR,1,"103,6200","103,6100",-,-,2024-12-20,-,"103,0600",-,1,48,"103,0600","103,6000",106,3,5,124,"12,95"
KRUK,KR10627,GPW RR,1,"102,8500",-,-,-,2024-12-19,-,"102,8500",-,1,50,"101,5100","102,8500",54,1,-,-,-
KRUK,KR11029,GPW RR,1,"100,5000","100,5000",-,-,2024-12-20,-,"100,8000",-,1,1938,"100,8000","101,0000",99,1,5,340,"34,82"
KRUK,KR20229,GPW RR,1,"103,6300","103,6500",-,-,2024-12-20,-,"104,0000",-,1,100,"103,7100","104,0000",75,1,7,258,"27,01"
KRUK,KRU0129,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,20,"100,0000",-,-,-,-,-,-
KRUK,KRU0226,GPW RR,1,"97,1800",-,-,-,2024-12-18,-,"97,1800",-,1,1,"96,3600","97,0000",17,1,-,-,-
KRUK,KRU0227,GPW RR,1,"104,3000",-,-,-,2024-12-18,-,"104,3000",-,1,100,"102,1000","104,2900",40,1,-,-,-
KRUK,KRU0228,GPW ASO,1,"102,0000",-,-,-,2024-10-08,-,"102,0000",-,-,-,-,-,-,-,-,-,-
KRUK,KRU0325,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,7,"101,0000","102,0000",10,1,-,-,-
