emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),data pobrania
KREDYT INKASO,KRI0329,GPW ASO,1,"102,3200",-,-,-,2025-01-27,-,"102,3200",-,1,14,"102,0000","102,9400",19,1,-,-,-,2025-01-29 11:53:04
KREDYT INKASO,KRI0427,GPW RR,1,"103,6000",-,-,-,2025-01-28,-,"103,6000",-,1,33,"103,6000","103,8000",10,1,-,-,-,2025-01-29 11:53:04
KREDYT INKASO,KRI0726,GPW RR,1,"102,5000","103,9500","102,5000","103,9500",09:27:17,42,"102,5000",0.00,1,158,"102,5000","103,9500",45,1,8,602,"62,52",2025-01-29 11:53:04
KREDYT INKASO,KRI0727,GPW RR,1,"103,7000","103,7000","103,7000","103,7000",09:53:48,5,"103,7000",0.00,1,4,"103,3000","103,7000",8,1,1,5,"5,21",2025-01-29 11:53:04
KREDYT INKASO,KRI1025,GPW RR,1,"99,6500",-,-,-,2025-01-27,-,"99,6500",-,1,14,"99,6500","99,9000",55,1,-,-,-,2025-01-29 11:53:04
KREDYT INKASO,KRI1027,GPW ASO,1,"101,9000",-,-,-,2025-01-27,-,"101,9000",-,1,4,"102,5200","103,5000",2,1,-,-,-,2025-01-29 11:53:04
KREDYT INKASO,KRI1127,GPW RR,1,"104,2000",-,-,-,2025-01-20,-,"104,2000",-,1,15,"103,4000","104,2500",10,1,-,-,-,2025-01-29 11:53:04
KREDYT INKASO,KRI1128,GPW ASO,1,"100,4000",-,-,-,2025-01-28,-,"100,4000",-,2,3,"100,0000","100,5000",26,1,-,-,-,2025-01-29 11:53:04
KRUK,KR10228,GPW RR,1,"103,0000",-,-,-,2025-01-27,-,"103,0000",-,1,100,"102,6300","103,3000",100,1,-,-,-,2025-01-29 11:53:04
KRUK,KR10627,GPW RR,1,"101,8000","101,7000","101,7000","101,7000",09:18:59,84,"101,7000",-0.10,1,100,"100,5000","101,7000",2338,1,1,84,"8,67",2025-01-29 11:53:04
